Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,dc1-bleaf1a,Ethernet1,spine,dc1-spine1,Ethernet4,True
l3leaf,dc1-bleaf1a,Ethernet2,mlag_peer,dc1-bleaf1b,Ethernet2,True
l3leaf,dc1-bleaf1a,Ethernet3,mlag_peer,dc1-bleaf1b,Ethernet3,True
l3leaf,dc1-bleaf1a,Ethernet4,other,bb1,Ethernet1,True
l3leaf,dc1-bleaf1b,Ethernet1,spine,dc1-spine1,Ethernet5,True
l3leaf,dc1-bleaf1b,Ethernet2,mlag_peer,dc1-bleaf1a,Ethernet2,True
l3leaf,dc1-bleaf1b,Ethernet3,mlag_peer,dc1-bleaf1a,Ethernet3,True
l3leaf,dc1-bleaf1b,Ethernet4,other,bb1,Ethernet2,True
l3leaf,dc1-cleaf1,Ethernet1,spine,dc1-spine1,Ethernet3,True
l3leaf,dc1-sleaf1a,Ethernet1,spine,dc1-spine1,Ethernet1,True
l3leaf,dc1-sleaf1a,Ethernet2,mlag_peer,dc1-sleaf1b,Ethernet2,True
l3leaf,dc1-sleaf1a,Ethernet3,mlag_peer,dc1-sleaf1b,Ethernet3,True
l3leaf,dc1-sleaf1a,Ethernet4,server,FIREWALL,Ethernet1,True
l3leaf,dc1-sleaf1b,Ethernet1,spine,dc1-spine1,Ethernet2,True
l3leaf,dc1-sleaf1b,Ethernet2,mlag_peer,dc1-sleaf1a,Ethernet2,True
l3leaf,dc1-sleaf1b,Ethernet3,mlag_peer,dc1-sleaf1a,Ethernet3,True
l3leaf,dc1-sleaf1b,Ethernet4,server,FIREWALL,Ethernet2,True
spine,dc1-spine1,Ethernet1,l3leaf,dc1-sleaf1a,Ethernet1,True
spine,dc1-spine1,Ethernet2,l3leaf,dc1-sleaf1b,Ethernet1,True
spine,dc1-spine1,Ethernet3,l3leaf,dc1-cleaf1,Ethernet1,True
spine,dc1-spine1,Ethernet4,l3leaf,dc1-bleaf1a,Ethernet1,True
spine,dc1-spine1,Ethernet5,l3leaf,dc1-bleaf1b,Ethernet1,True
l3leaf,dc2-bleaf1a,Ethernet1,spine,dc2-spine1,Ethernet3,True
l3leaf,dc2-bleaf1a,Ethernet2,mlag_peer,dc2-bleaf1b,Ethernet2,True
l3leaf,dc2-bleaf1a,Ethernet3,mlag_peer,dc2-bleaf1b,Ethernet3,True
l3leaf,dc2-bleaf1a,Ethernet4,other,bb2,Ethernet1,True
l3leaf,dc2-bleaf1b,Ethernet1,spine,dc2-spine1,Ethernet4,True
l3leaf,dc2-bleaf1b,Ethernet2,mlag_peer,dc2-bleaf1a,Ethernet2,True
l3leaf,dc2-bleaf1b,Ethernet3,mlag_peer,dc2-bleaf1a,Ethernet3,True
l3leaf,dc2-bleaf1b,Ethernet4,other,bb2,Ethernet2,True
l3leaf,dc2-sleaf1a,Ethernet1,spine,dc2-spine1,Ethernet1,True
l3leaf,dc2-sleaf1a,Ethernet2,mlag_peer,dc2-sleaf1b,Ethernet2,True
l3leaf,dc2-sleaf1a,Ethernet3,mlag_peer,dc2-sleaf1b,Ethernet3,True
l3leaf,dc2-sleaf1b,Ethernet1,spine,dc2-spine1,Ethernet2,True
l3leaf,dc2-sleaf1b,Ethernet2,mlag_peer,dc2-sleaf1a,Ethernet2,True
l3leaf,dc2-sleaf1b,Ethernet3,mlag_peer,dc2-sleaf1a,Ethernet3,True
spine,dc2-spine1,Ethernet1,l3leaf,dc2-sleaf1a,Ethernet1,True
spine,dc2-spine1,Ethernet2,l3leaf,dc2-sleaf1b,Ethernet1,True
spine,dc2-spine1,Ethernet3,l3leaf,dc2-bleaf1a,Ethernet1,True
spine,dc2-spine1,Ethernet4,l3leaf,dc2-bleaf1b,Ethernet1,True
